FIPS,Name of Area,Qualifying Name,Nation,State,County,Census Tract,Block Group,City,Metropolitan Statistical Area/Micropolitan Statistical Area,ZIP Code,Population Density,Population,Households,"Household, Average Size",Total Population,Family Population,Non-Family Population,Families,"Families, Married",Other Families,"Other Families, Male Householder, No Wife Present","Other Families, Female Householder, No Husband Present","Families, Married with Children Under 18","Families, Married with No Children Under 18","Other Families, Male Householder, No Wife Present with Children Under 18","Other Families, Male Householder, No Wife Present with No Children Under 18","Other Families, Female Householder, No Husband Present with Children Under 18","Other Families, Female Householder, No Husband Present with No Children Under 18",Total Number of Households,Non-Family Households,"Non-Family Households, Male Householder with People Under 18","Non-Family Households, Male Householder with No People Under 18","Non-Family Households, Female Householder with People Under 18","Non-Family Households, Female Householder with No People Under 18",Total Population,"Population, Urban","Population, Rural",Total Population,"Population, Male","Population, Female",Total Population,"White Population, Alone","Black Population, Alone","Asian Population, Alone","American Indian and Alaska Native Population, Alone","Other Race Population, Alone",Two or More Races Population,Total Population,Hispanic Population,White Non-Hispanic Population,Total Number of Households,White Households,Black Households,Asian Households,American Indian and Alaska Native Households,Other Race Households,Two or More Races Households,Total Number of Households,Hispanic Households,White Non-Hispanic Households,"Population, Median Age",Total Population,Population Aged 0 to 5 Years,Population Aged 6 to 11 Years,Population Aged 12 to17 Years,Population Aged 18 to 24 Years,Population Aged 25 to 34 Years,Population Aged 35 to 44 Years,Population Aged 45 to 54 Years,Population Aged 55 to 64 Years,Population Aged 65 to 74 Years,Population Aged 75 to 84 Years,Population Aged 85 Years and Older,Total Population,"Population, Citizenship - Native","Population, Citizenship - Foreign Born - Naturalized","Population, Citizenship - Foreign Born - Not a Citizen","Employment, Travel Time 30-59 Min (Empl 16+)","Employment, Travel Time 60-89 Min (Empl 16+)","Employment, Travel Time 90+ Min (Empl 16+)","Households, Median Size",Total Number of Households,"Households, 1 Person","Households, 2 Person","Households, 3 Person","Households, 4 Person","Households, 5 Person","Households, 6 Person","Households, 7 or More Person","Housing, Units","Housing, Occupied Units","Housing, Vacant Units","Housing, Vacant Units For Rent","Housing, Vacant Units Rented, Not Occupied","Housing, Vacant Units For Sale","Housing, Vacant Units Sold, Not Occupied","Housing, Vacant Units Seasonal","Housing, Vacant Units For Migrant Workers","Housing, Vacant Units Vacant Other","Housing, Units","Housing, Rent less than $250","Housing, Rent $250-$499","Housing, Rent $500-$749","Housing, Rent $750-$999","Housing, Rent $1,000-$1,249","Housing, No Cash Rent","Housing, Owner Occupied","Housing, Owner Households, With Mortgage Any","Housing, Owner Households, With No Mortgage","Households, Median Vehicles","Personal Income, Total [Dollars adjusted for inflation to match value in 2025]","Household Income, Total [Dollars adjusted for inflation to match value in 2025]","Household Income, Median [Dollars adjusted for inflation to match value in 2025]","Household Income, Average [Dollars adjusted for inflation to match value in 2025]","Personal Income, Per Capita [Dollars adjusted for inflation to match value in 2025]","Education, Enrolled School (Pop 3+)","Education, Enrolled Public School (Pop 3+)","Education, Enrolled Public Preprimary (Pop 3+)","Education, Enrolled Public Kindergarten (Pop 3+)","Education, Enrolled Public Grades 1-4 (Pop 3+)","Education, Enrolled Public Grades 5-8 (Pop 3+)","Education, Enrolled Public Grades 9-12 (Pop 3+)","Education, Enrolled Public Undergraduate College (Pop 3+)","Education, Enrolled Public Graduate or Professional School (Pop 3+)","Education, Enrolled Private School (Pop 3+)","Education, Enrolled Private Preprimary (Pop 3+)","Education, Enrolled Private Kindergarten (Pop 3+)","Education, Enrolled Private Grades 1-4 (Pop 3+)","Education, Enrolled Private Grades 5-8 (Pop 3+)","Education, Enrolled Private Grades 9-12 (Pop 3+)","Education, Enrolled Private Undergraduate College (Pop 3+)","Education, Enrolled Private Graduate or Professional School (Pop 3+)","Education, Not Enrolled in School (Pop 3+)","Education Attainment, < High School (Pop 25+)","Education Attainment, High School (Pop 25+)","Education Attainment, Some College (Pop 25+)","Education Attainment, Associate's Degree (Pop 25+)","Education Attainment, Bachelor's Degree (Pop 25+)","Education Attainment, Master's Degree (Pop 25+)","Education Attainment, Professional Degree (Pop 25+)","Education Attainment, Doctorate Degree (Pop 25+)","Families, Aged Under 25 Years","Families, Aged 25 to 34 Years","Families, Aged 35 to 44 Years","Families, Aged 45 to 54 Years","Families, Aged 55 to 64 Years","Families, Aged 65 to 74 Years","Families, Aged 75 Years and Over",White Median Age,Black Median Age,Asian Median Age,American Indian and Alaska Native Median Age,Other Race Median Age,"Population in Poverty, Total"
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_DENSITY,ORG_TOT_POP,ORG_TOT_HH,ORG_AVGHHSIZE,ORG_TOT_POP0,ORG_POPFAM,ORG_POPNFAM,ORG_FAMILIES,ORG_FAMMAR,ORG_FAMOTH,ORG_FAMOTM,ORG_FAMOTF,ORG_FAMMAR18,ORG_FAMMARNOC,ORG_FAMOTM18,ORG_FAMOTMNOC,ORG_FAMOTF18,ORG_FAMOTFNOC,ORG_HOUSEHOLDS1,ORG_NONFAMHH,ORG_NONFAMHHMC,ORG_NONFAMHHMN,ORG_NONFAMHHFC,ORG_NONFAMHHFN,ORG_TOT_POP1,ORG_URBANPOP,ORG_RURALPOP,ORG_TOT_POP2,ORG_MALEPOP,ORG_FEMALEPOP,ORG_TOT_POP3,ORG_WHPOPA,ORG_BLPOPA,ORG_ASPOPA,ORG_AMPOPA,ORG_ORPOPA,ORG_TMPOP,ORG_TOT_POP4,ORG_HISPPOP,ORG_WHNHISPOP,ORG_HOUSEHOLDS2,ORG_WHHH,ORG_BLHH,ORG_ASHH,ORG_AMHH,ORG_ORHH,ORG_TMHH,ORG_HOUSEHOLDS3,ORG_HISPHH,ORG_WHNHISHH,ORG_MEDAGE,ORG_TOT_POP5,ORG_POP_0_5,ORG_POP_6_11,ORG_POP_12_17,ORG_POP_18_24,ORG_POP_25_34,ORG_POP_35_44,ORG_POP_45_54,ORG_POP_55_64,ORG_POP_65_74,ORG_POP_75_84,ORG_POP_85P,ORG_TOT_POP8,ORG_CITNATIV,ORG_CITFORNAT,ORG_CITFORNOT,ORG_TRAV30_59,ORG_TRAV60_89,ORG_TRAV90P,ORG_MEDHHSIZE,ORG_HOUSEHOLDS5,ORG_HH1,ORG_HH2,ORG_HH3,ORG_HH4,ORG_HH5,ORG_HH6,ORG_HH7P,ORG_HOUSEUNITS,ORG_OCCUNIT,ORG_VACUNIT,ORG_VACUNITRNT,ORG_VACUNITRNO,ORG_VACUNITSAL,ORG_VACUNITSNO,ORG_VACUNITSEA,ORG_VACUNITMIG,ORG_VACUNITOTH,ORG_HOUSEUNITS3,ORG_RNTL250,ORG_RNT25L50,ORG_RNT50L75,ORG_RNT75L100,ORG_RNT100L125,ORG_RENTNOCASH,ORG_HOUSEUNITS4,ORG_MORTANY,ORG_NOMORT,ORG_MEDVEHICLE,ORG_TOTPERSINC,ORG_TOTHHINC,ORG_MEDHHINC,ORG_AVGHHINC,ORG_PERCAPINC,ORG_SE_K_12,ORG_SE_K_12PUB,ORG_SE_PREPUB,ORG_SE_KINDPUB,ORG_SE_1_4PUB,ORG_SE_5_8PUB,ORG_SE_9_12PUB,ORG_SE_UNDPUB,ORG_SE_GRADPUB,ORG_SE_K_12PRI,ORG_SE_PREPRI,ORG_SE_KINDPRI,ORG_SE_1_4PRI,ORG_SE_5_8PRI,ORG_SE_9_12PRI,ORG_SE_UNDPRI,ORG_SE_GRADPRI,ORG_SE_NONE,ORG_ED_LHS,ORG_ED_HS,ORG_ED_COL,ORG_ED_ASSC,ORG_ED_BACH,ORG_ED_MAST,ORG_ED_PROF,ORG_ED_DOCT,ORG_FMHL24YR,ORG_FMH25_34YR,ORG_FMH35_44YR,ORG_FMH45_54YR,ORG_FMH55_64YR,ORG_FMH65_74YR,ORG_FMH75PYR,ORG_WHMEDAGE,ORG_BLMEDAGE,ORG_ASMEDAGE,ORG_AMMEDAGE,ORG_ORMEDAGE,ORG_POV_TOTAL
1,Alabama,Alabama,0,1,,,,,,,97.9,4959539,1978162,2.45,4959539,3999857,843441,1280951,886337,394614,98670,295944,353607,532730,52403,46267,180686,115258,1978162,697211,4519,325653,1543,365496,4959539,2961026,1998513,4959539,2427905,2531634,4959539,3163090,1410187,86984,40938,141838,116502,4959539,242868,3072355,1978162,1324303,541706,27993,16262,35384,32514,1978162,63966,1298536,40.5,4959539,326571,345469,338226,431830,724125,568875,514728,711441,655064,251614,91596,4959539,4759383,71794,128362,548823,88156,39687,2.6,1978162,583459,648909,318295,245644,110860,44085,26910,2340063,1978162,361901,95935,5029,42748,12005,80630,259,125295,2340063,77112,175481,216121,71955,23808,77689,1314671,770493,544178,2.3,1.81429E+11,1.78371E+11,69547,90170,36582,1320278,1122571,41871,63923,231106,238205,231429,267773,48264,197707,39318,11340,29852,29108,30786,42865,14438,3482153,488531,1052149,797528,294755,552097,236548,56535,39300,45721,194024,241613,247160,255139,186103,111191,44.9,35.9,35.2,41.4,25.5,977733
2,Alaska,Alaska,0,2,,,,,,,1.3,735913,272860,2.6,735913,577136,131447,173988,129971,44017,16619,27398,58205,71766,10549,6070,18803,8595,272860,98872,862,52819,332,44859,735913,477246,258667,735913,383433,352480,735913,425283,33640,66393,126980,14164,69453,735913,49327,401098,272860,182496,13052,18099,38537,4479,16197,272860,13592,175666,35.7,735913,56180,59733,59687,69770,116372,87961,86078,105593,66527,20918,7094,735913,673986,31861,30066,50254,10482,6407,2.7,272860,74588,86046,43628,32423,19229,7977,8969,338206,272860,65346,8634,895,4144,1275,37975,478,11945,338206,3060,8033,13077,22183,19944,9533,168363,101659,66704,2.3,36082428107,34419170151,100153,126142,49030,199148,170228,7511,10117,38182,34873,35047,34808,9690,28920,3973,1094,4610,4623,4504,7042,3074,509865,37224,136284,134573,40001,88799,38872,8361,6429,8087,32442,34085,36836,36540,18213,7785,39.7,32.6,36.9,35.5,30.5,82466
4,Arizona,Arizona,0,4,,,,,,,66.7,7575578,2829159,2.62,7575578,6121333,1294601,1835323,1299414,535909,173950,361959,523936,775478,105228,68722,219739,142220,2829159,993836,7005,485212,3846,497773,7575578,6843167,732411,7575578,3794974,3780604,7575578,5076079,386720,299717,367624,1064622,380816,7575578,2394338,3776175,2829159,2103814,142074,98552,106227,286675,91817,2829159,640218,1754383,37.5,7575578,576937,597602,566072,677320,1146274,886905,720761,955794,950406,360219,137288,7575578,6609914,424762,540902,874143,132544,53571,2.7,2829159,756966,973671,401373,333032,190769,99488,73860,3298200,2829159,469041,105359,5458,45176,10352,211691,735,90270,3298200,30536,117918,358342,241776,141694,49994,1774148,1178437,595711,2.2,2.88415E+11,2.85792E+11,75524,101017,38071,1949691,1720441,57303,85785,357053,362739,363049,431961,62551,229250,33094,9164,32344,26074,24708,65821,38045,5347339,674386,1235422,1319975,460544,924525,389327,91558,61910,53671,263801,364712,360454,337998,286333,168354,43.9,33,36.9,33.2,27.2,1484989
5,Arkansas,Arkansas,0,5,,,,,,,58.7,3055761,1206227,2.47,3055761,2432319,542223,770822,545055,225767,67244,158523,233280,311775,40726,26518,100535,57988,1206227,435405,3978,207484,1249,222694,3055761,1750739,1305022,3055761,1515879,1539882,3055761,2228190,498493,70100,37090,134336,87552,3055761,247672,2123952,1206227,924999,189048,20999,13405,33941,23835,1206227,63486,897551,39.8,3055761,216263,223408,213736,263433,448790,341183,302296,416652,410198,158023,61779,3055761,2896916,51580,107265,266910,42315,23322,2.6,1206227,357457,391506,194286,143307,72750,28889,18032,1413716,1206227,207489,54825,2730,20431,6018,48730,393,74362,1413716,45226,142403,146942,38192,9459,48014,767139,440250,326889,2.3,1.04267E+11,1.02382E+11,64960,84878,34121,835294,738138,43213,43747,158502,157223,146891,164305,24257,97156,17057,3800,14873,12440,13884,27193,7909,2116358,301118,718346,499959,142247,312290,118080,26790,20091,34265,125164,149473,149410,136553,109734,66223,44.2,33.6,32.2,39,25.6,593963
6,California,California,0,6,,,,,,,258.5,40261832,13695844,2.88,40261832,33553790,5874699,9442220,6769291,2672929,863342,1809587,3100150,3669141,472087,391255,975880,833707,13695844,4253624,34937,2022023,15464,2181200,40261832,38259728,2002104,40261832,20116945,20144887,40261832,20121325,2518803,6597675,496963,7590222,2936844,40261832,16022385,12498792,13695844,7886471,937254,2143407,157181,1848940,722591,13695844,3908779,5910453,36.8,40261832,2895705,3032978,3036114,3817331,6424643,5084777,4263026,4925968,4176666,1768268,836356,40261832,29505813,5771976,4984043,5288188,1310182,588599,2.9,13695844,3072688,4041175,2325801,2038260,1124590,554132,539198,14783504,13695844,1087660,333135,23193,123198,41486,344558,2353,219737,14783504,165670,276070,744890,1009389,1250497,207112,7261406,5186647,2074759,2.3,1.75381E+12,1.7282E+12,91424,126184,43560,10598600,8994241,375015,498940,1754440,1799543,1829024,2414730,322549,1604359,262221,62204,168060,174970,177699,481708,277497,28271294,4559875,5530382,6072732,2259895,5748389,2212977,660604,434850,202931,1268638,1937096,2137652,2005040,1131185,759678,42.4,37.6,42,37.6,28.5,7571900
8,Colorado,Colorado,0,8,,,,,,,57.7,5977128,2398132,2.44,5977128,4691867,1158101,1526048,1146551,379497,126617,252880,503819,642732,77127,49490,161125,91755,2398132,872084,5010,434013,1900,431161,5977128,5179264,797864,5977128,3015949,2961179,5977128,4647418,289366,228588,78915,442095,290746,5977128,1304367,3873907,2398132,1979854,111782,74725,27084,129459,75228,2398132,366754,1757619,37.6,5977128,432413,450289,425604,519942,963518,754811,642566,816192,637938,236391,97464,5977128,5385881,261623,329624,796505,130172,60832,2.7,2398132,648592,821147,360740,302257,153449,67217,44730,2657792,2398132,259660,55603,3391,28540,6048,124168,607,41303,2657792,37300,68218,223362,205988,154187,34881,1516033,1118792,397241,2.4,2.80371E+11,2.7755E+11,89297,115736,46908,1581984,1355099,62148,77439,280928,286150,272553,310528,65353,226885,48969,8800,28043,26643,23957,56490,33983,4186656,368390,846121,934056,365381,1030804,437865,97815,68448,39674,239750,338392,311982,316309,181548,98393,40.6,34.4,37,36.4,28.1,729131
9,Connecticut,Connecticut,0,9,,,,,,,742.9,3597287,1401514,2.49,3597287,2854881,628854,895850,646202,249648,73063,176585,251295,394907,37259,35804,100189,76396,1401514,505664,2739,228035,1216,273674,3597287,3173340,423947,3597287,1765818,1831469,3597287,2569074,438206,201845,18743,216905,152514,3597287,599468,2264826,1401514,1072317,157881,63547,6527,64234,37008,1401514,170028,980736,41.8,3597287,217016,253191,262260,290341,475519,439559,417710,510036,441704,192262,97689,3597287,3050744,289889,256654,431491,97218,54610,2.6,1401514,404777,464404,227383,176159,78109,28604,22078,1551549,1401514,150035,45232,2891,19652,5281,40435,57,36487,1551549,30066,35271,78315,124569,99203,23355,902730,620042,282688,2.2,1.95744E+11,1.92577E+11,106357,137406,54415,952386,745715,40828,39778,141448,163143,167176,159263,34079,206671,29575,7457,16816,17952,23638,74401,36832,2541891,240003,673212,423980,202386,571784,334759,80137,48218,18874,98608,160439,205522,209332,126441,76634,47.1,35.4,35.4,36.2,29,459911
10,Delaware,Delaware,0,10,,,,,,,511.5,996746,384103,2.53,996746,797990,172664,249241,180657,68584,19088,49496,64577,116080,10646,8442,29144,20352,384103,134862,878,57839,412,75733,996746,819296,177450,996746,487466,509280,996746,617504,244788,42987,5654,43214,42599,996746,100822,573329,384103,259136,88908,14037,2020,11005,8997,384103,25347,246520,41.3,996746,64732,68894,66540,87955,138522,113752,105022,141227,137581,52292,20229,996746,904289,44567,47890,117457,25002,12752,2.6,384103,106733,133474,57373,47074,21503,9520,8426,452515,384103,68412,11973,816,6923,1213,35842,60,11585,452515,7625,9952,25211,31423,20126,6147,269103,176208,92895,2.3,45039172497,44345973507,92292,115454,45186,254835,207797,8860,10767,41136,41048,41620,56263,8103,47038,7344,2027,6057,7643,6839,10074,7054,710749,70784,230492,134738,51988,132754,64085,12838,10946,7860,33499,42100,50089,53035,39083,23575,48.1,36.5,35.8,41.1,26.8,125518
11,District of Columbia,District Of Columbia,0,11,,,,,,,11899.7,726460,340038,2.01,726460,436622,246632,149527,87734,61793,12800,48993,34548,53186,5511,7289,29296,19697,340038,190511,452,85807,247,104005,726460,726460,0,726460,345937,380523,726460,270654,358139,30077,3537,34665,29388,726460,81355,240141,340038,144229,158138,14574,1479,9823,11795,340038,26754,131034,35.9,726460,37621,31971,28907,87162,169598,85492,65785,94148,77926,31708,16142,726460,622121,46431,57908,156125,27147,8997,2.3,340038,136819,106475,41933,28829,13203,6025,6754,367206,340038,27168,12762,1192,2767,806,4096,7,5538,367206,14762,10665,17962,27905,23660,5802,138427,107308,31119,1.3,46969099413,46012235785,101813,135315,64654,176278,105338,10793,7712,22164,17124,25835,12662,9048,70940,3218,1359,4344,4267,3982,34044,19726,532319,51747,101319,75984,16801,125335,98802,47729,23082,3526,30732,37307,25238,24044,17878,10802,33.6,43.6,33,40.9,29.8,112978
12,Florida,Florida,0,12,,,,,,,414.8,22241857,8863668,2.46,22241857,17813275,3964976,5693501,3985279,1708222,488789,1219433,1424118,2561161,262918,225871,699213,520220,8863668,3170167,22073,1447902,7947,1692245,22241857,20304427,1937430,22241857,10979820,11262037,22241857,15680820,4000355,737616,103706,905327,814033,22241857,5539713,11443133,8863668,6731058,1369376,240173,37885,260783,224393,8863668,1730704,5347557,43.6,22241857,1305825,1396617,1411628,1783838,3038454,2541498,2308644,3111964,3349756,1423218,570415,22241857,17779786,2484248,1977823,2994821,467877,193988,2.6,8863668,2445766,3171158,1353635,1028461,506050,212319,146279,10478042,8863668,1614374,334568,18473,157717,34667,715349,1669,351931,10478042,111871,209892,900089,815143,530467,173357,5548466,3257144,2291322,2.1,8.82121E+11,8.706E+11,74571,98221,39660,5251428,4297627,192702,231470,847197,851828,893385,1112539,168506,953801,142284,41048,122534,126938,115066,280081,125850,16360925,1904128,4708813,3444649,1597992,2998673,1163305,334121,192268,131025,710269,1014587,1171555,1116285,913679,636101,49.3,34.4,39.5,40.3,29.5,3965330
13,Georgia,Georgia,0,13,,,,,,,190.6,10959305,4107324,2.6,10959305,8961646,1725257,2746450,1878577,867873,215362,652511,838408,1040169,123646,91716,424031,228480,4107324,1360874,10587,626785,3842,719660,10959305,8338972,2620333,10959305,5381382,5577923,10959305,5898343,3694971,491363,50344,473451,350833,10959305,1086026,5387905,4107324,2369543,1366763,153765,17311,112579,87363,4107324,264512,2237830,37,10959305,810564,859881,798407,952799,1761863,1449735,1163713,1430949,1176125,404696,150573,10959305,9841366,480928,637011,1445712,323174,124660,2.8,4107324,1079792,1295330,683275,550391,282208,125659,90669,4674555,4107324,567231,188249,8224,79512,14906,99641,941,175758,4674555,105029,253865,502965,347017,165816,104990,2510164,1744573,765591,2.3,4.28162E+11,4.21628E+11,79919,102652,39068,3167012,2682062,140337,152555,577065,573200,549847,591959,97099,484950,78224,18892,58204,68755,62173,139036,59666,7398825,1003738,1999321,1704760,573630,1406491,597159,156607,95948,87296,416096,577313,623332,532196,336748,173469,41.9,34.5,36.1,35.8,26.3,2118147
15,Hawaii,Hawaii,0,15,,,,,,,222.3,1427568,483866,2.86,1427568,1186336,197678,334195,247611,86584,28901,57683,106627,140984,14812,14089,30246,27437,483866,149671,1074,74335,545,73717,1427568,1306553,121015,1427568,719847,707721,1427568,303938,29208,699204,4323,20086,370809,1427568,154590,265108,483866,142031,11456,234229,1783,6509,87858,483866,37042,129335,42.1,1427568,83001,93936,94914,124193,201667,163907,159995,192637,165959,87576,59783,1427568,1155482,157235,114851,200467,44502,15372,2.9,483866,107961,149454,81286,62497,36810,20794,25064,567919,483866,84053,19756,1490,4515,1548,40319,163,16262,567919,8180,7040,17361,25576,38301,12382,277595,183973,93622,2.2,68026889752,65292363564,105526,134939,47652,351976,268794,10156,16087,56653,53770,44843,73968,13317,83182,15533,3501,8702,14382,12851,20903,7310,1035631,83331,276136,220472,111880,223858,77055,25596,13196,10433,45496,56719,60653,68911,53054,38929,46.6,31.5,51.1,38.9,31.4,182200
